cat,value,label,next_stream,stream,strahler,topo,distance,elev_ft,area_10m2,wetland,longitude,latitude
3215,97,,99,97,4,2,11065.260807916,4974.269,326639,,-121.911141017599,43.2886500710988
3216,27,,66,27,1,14,22271.1817921131,6040.734,634,,-121.998616068531,43.2874275773775
3217,29,,81,29,1,11,22014.9076139325,5853.928,2068,,-121.995289532953,43.2874718891672
3218,77,,84,77,2,8,19119.2726026619,5124.533,7680,,-121.976315866123,43.2877227481464
3219,84,,91,84,3,7,18940.277647568,5105.844,74321,1,-121.97459097947,43.287745394676
3220,84,,91,84,3,7,18698.8562836051,5093.08,75695,,-121.972126853422,43.2877777009401
3221,84,,91,84,3,7,18688.8562832851,5091.651,75769,,-121.97200364705,43.2877793148352
3222,92,,94,92,3,5,13871.3121219235,5002.912,97815,1,-121.932823687416,43.288285682912
3223,96,,97,96,4,3,12139.9412166211,4978.677,291520,1,-121.920256391455,43.2884452097711
3224,96,,97,96,4,3,12129.9412163011,4978.677,291523,1,-121.92013318234,43.288446766804
3225,96,,97,96,4,3,12073.372671996,4978.677,291558,,-121.919640345819,43.2884529935849
3226,97,,99,97,4,2,11282.5400354825,4974.876,325237,1,-121.913110252265,43.2885352944133
3227,97,,99,97,4,2,11205.9714905375,4974.8,326186,1,-121.912370995263,43.2885445875813
3228,97,,99,97,4,2,11109.4029449523,4974.269,326436,1,-121.911631738032,43.2885538758869
3229,27,,66,27,1,14,22285.3239281893,6053.343,633,,-121.998737024201,43.2873359303144
3230,29,,81,29,1,11,22029.0497500088,5872.37,2060,,-121.995410493796,43.2873802456837
3231,77,,84,77,2,8,19129.2726029819,5126.606,7678,,-121.976313650504,43.287632743703
3232,84,,91,84,3,7,18926.1355114917,5104.833,74341,,-121.974465560384,43.2876570067923
3233,84,,91,84,3,7,18916.1355111717,5103.729,74345,,-121.974342354323,43.2876586232511
3234,84,,91,84,3,7,18791.282693434,5097.062,74819,1,-121.973110293346,43.2876747804105
3235,84,,91,84,3,7,18781.282693114,5096.504,74821,1,-121.972987087212,43.2876763953837
3236,84,,91,84,3,7,18771.2826927939,5096.001,74971,1,-121.972863881071,43.2876780102217
3237,84,,91,84,3,7,18761.282692474,5095.556,74972,1,-121.972740674924,43.2876796249247
